Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Sinimbu,10067,10152,Santa Cruz do Sul,Centro Oriental,110719.0,210207.93,10998.23,20665.35,0.374,0.513,0.631
Porto Xavier,10560,10144,Cerro Largo,Noroeste,93760.0,184241.86,8878.79,17981.83,0.49,0.616,0.723
Nova Bassano,8840,10089,Guaporé,Nordeste,429210.0,598223.16,48553.13,60329.08,0.525,0.674,0.747
Planalto,10524,9957,Frederico Westphalen,Noroeste,98172.0,211750.22,9328.37,20998.63,0.444,0.587,0.687
Santo Antônio das Missões,11210,9930,Santo Ângelo,Noroeste,149619.0,416068.53,13346.92,40891.26,0.435,0.582,0.686
Constantina,9741,9903,Frederico Westphalen,Noroeste,133239.0,324561.16,13678.17,32747.57,0.488,0.63,0.754
Candiota,8776,9707,Serras de Sudeste,Sudeste,659547.0,649412.55,75153.51,67760.07,0.502,0.622,0.698
Chapada,9377,9211,Carazinho,Noroeste,223013.0,462559.29,23782.93,49903.9,0.49,0.642,0.757
Casca,8648,9070,Passo Fundo,Noroeste,214235.0,477705.98,24772.79,52896.24,0.531,0.688,0.785
Pantano Grande,9895,8995,Cachoeira do Sul,Centro Oriental,158235.0,391315.98,15991.38,42654.89,0.444,0.589,0.661
São Vicente do Sul,8440,8742,Santa Maria,Centro Ocidental,101807.0,260951.18,12062.46,29922.16,0.488,0.589,0.685
Catuípe,9323,8631,Santo Ângelo,Noroeste,151586.0,382494.5,16259.36,43594.08,0.542,0.635,0.739
Jóia,8329,8571,Cruz Alta,Noroeste,205159.0,503406.73,24631.89,58809.2,0.45,0.587,0.686
Paverama,8047,8541,Lajeado-Estrela,Centro Oriental,87373.0,189791.61,10857.84,22362.63,0.387,0.54,0.683
Caraá,7313,8426,Osório,Metropolitana,47902.0,119670.04,6550.23,14470.38,0.37,0.508,0.652
Entre-Ijuís,8938,8350,Santo Ângelo,Noroeste,140455.0,420708.85,15714.4,49641.16,0.473,0.589,0.68
General Câmara,8452,8339,São Jerônimo,Metropolitana,95970.0,221361.97,11354.67,26399.76,0.471,0.619,0.686
