Edicao,Ano,Primeiro,Segundo,Terceiro,Quarto,Artilheiro,N_de_gols,Cidade_Primeiro,Cidade_Segundo,Cidade_Terceiro,Cidade_Quarto
29,1949,Grêmio,Novo Hamburgo,14 de Julho,Brasil de Pelotas,Geada/HermesGrêmio,,Porto Alegre,Novo Hamburgo,Passo Fundo,Pelotas
30,1950,Internacional,Novo Hamburgo,Brasil de Pelotas,Uruguaiana,Ênio AndradeInternacional,3,Porto Alegre,Novo Hamburgo,Pelotas,Uruguaiana
31,1951,Internacional,Pelotas,Rio Grande,,CanhotinhoInternacional,,Porto Alegre,Pelotas,Rio Grande,
32,1952,Internacional,Novo Hamburgo,Brasil de Pelotas,14 de Julho,BodinhoInternacional,4,Porto Alegre,Novo Hamburgo,Pelotas,Passo Fundo
33,1953,Internacional,Brasil de Pelotas,Uruguaiana,Guarany de Bagé,Luizinho/Canhotinho/BodinhoInternacional,,Porto Alegre,Pelotas,Uruguaiana,Bagé
34,1954,Renner,Brasil de Pelotas,Ferro Carril,,Breno MelloRenner,3,Porto Alegre,Pelotas,Uruguaiana,
35,1955,Internacional,Brasil de Pelotas,Cruzeiro-SG,Uruguaiana,LarryInternacional,,Porto Alegre,Pelotas,São Gabriel,Uruguaiana
36,1956,Grêmio,Pelotas,Cruzeiro-SG,Ferro Carril,GessyGrêmio,,Porto Alegre,Pelotas,São Gabriel,Uruguaiana
37,1957,Grêmio,Bagé,Riograndense-RG,Santa Cruz,Cabral/Hercílio/ToquinhoBagé/Grêmio/Grêmio,2,Porto Alegre,Bagé,Rio Grande,Santa Cruz do Sul
38,1958,Grêmio,Guarany de Bagé,14 de Julho,Pelotas,Max/Milton Kuelle/GiovaniGuarany de Bagé/Grêmio/Grêmio,2,Porto Alegre,Bagé,Passo Fundo,Pelotas
39,1959,Grêmio,Farroupilha,Santa Cruz,Cruzeiro-SG,Juarez/GessyGrêmio,,Porto Alegre,Pelotas,Santa Cruz do Sul,São Gabriel
40,1960,Grêmio,Pelotas,Nacional-CA,14 de Julho,GessyGrêmio,,Porto Alegre,Pelotas,Cruz Alta,Passo Fundo
41,1961,Internacional,Grêmio,Novo Hamburgo,Farroupilha,SapirangaInternacional,16,Porto Alegre,Porto Alegre,Novo Hamburgo,Pelotas
