Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes
Cristal do Sul,2 826,2 840,Frederico Westphalen,Noroeste
 Victor Graeff,3 036,2 840,Não-Me-Toque,Noroeste
São Jorge,2 774,2 808,Guaporé,Nordeste
 Quevedos,2 710,2 793,Santiago,Centro Ocidental
 Boa Vista do Sul,2 778,2 773,Caxias do Sul,Nordeste
 Capitão,2 636,2 770,Lajeado-Estrela,Centro Oriental
 Senador Salgado Filho,2 814,2 761,Santo Ângelo,Noroeste
Toropi,2 952,2 753,Santa Maria,Centro Ocidental
 Camargo,2 591,2 750,Passo Fundo,Noroeste
 Fagundes Varela,2 579,2 750,Caxias do Sul,Nordeste
 Salvador das Missões,2 669,2 734,Cerro Largo,Noroeste
 São Valério do Sul,2 647,2 732,Ijuí,Noroeste
