"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Harmonia","0.541","0.663","0.749","",""
"1","IDH","Herveiras","0.299","0.441","0.616","",""
"1","IDH","Horizontina","0.568","0.725","0.783","",""
"1","IDH","Hulha Negra","0.386","0.569","0.643","",""
"1","IDH","Humaitá","0.538","0.640","0.738","",""
"1","IDH","Ibarama","0.369","0.528","0.652","",""
"1","IDH","Ibiaçá","0.484","0.677","0.739","",""
"1","IDH","Ibiraiaras","0.489","0.645","0.724","",""
"1","IDH","Ibirapuitã","0.417","0.527","0.638","",""
"1","IDH","Ibirubá","0.511","0.674","0.765","",""
"1","IDH","Igrejinha","0.481","0.603","0.721","",""
"1","IDH","Ijuí","0.553","0.683","0.781","",""
"1","IDH","Ilópolis","0.471","0.613","0.730","",""
"1","IDH","Imbé","0.547","0.677","0.764","",""
"1","IDH","Imigrante","0.514","0.690","0.743","",""
"1","IDH","Independência","0.465","0.601","0.693","",""
"1","IDH","Inhacorá","0.369","0.554","0.673","",""
"1","IDH","Ipê","0.503","0.615","0.728","",""
"1","IDH","Ipiranga do Sul","0.488","0.673","0.791","",""
"1","IDH","Iraí","0.469","0.595","0.691","",""
"1","IDH","Itaara","0.450","0.607","0.760","",""
"1","IDH","Itacurubi","0.420","0.539","0.657","",""
"1","IDH","Itapuca","0.377","0.495","0.664","",""
"1","IDH","Itaqui","0.504","0.630","0.713","",""
"1","IDH","Itati","0.397","0.554","0.669","",""
"1","IDH","Itatiba do Sul","0.374","0.533","0.681","",""
"1","IDH","Ivorá","0.512","0.637","0.724","",""
"1","IDH","Ivoti","0.551","0.697","0.784","",""
"1","IDH","Jaboticaba","0.414","0.510","0.658","",""
"1","IDH","Jacuizinho","0.344","0.466","0.662","",""
"1","IDH","Jacutinga","0.508","0.620","0.726","",""
"1","IDH","Jaguarão","0.512","0.620","0.707","",""
"1","IDH","Jaguari","0.506","0.601","0.712","",""
"1","IDH","Jaquirana","0.363","0.470","0.614","",""
"1","IDH","Jari","0.273","0.516","0.631","",""
"1","IDH","Jóia","0.450","0.587","0.686","",""
"1","IDH","Júlio de Castilhos","0.542","0.626","0.716","",""
"1","IDH","Lagoa Bonita do Sul","0.339","0.533","0.670","",""
"1","IDH","Lagoão","0.296","0.476","0.643","",""
"1","IDH","Lagoa dos Três Cantos","0.566","0.664","0.789","",""
"1","IDH","Lagoa Vermelha","0.520","0.650","0.738","",""
"1","IDH","Lajeado","0.598","0.715","0.778","",""
"1","IDH","Lajeado do Bugre","0.233","0.504","0.613","",""
"1","IDH","Lavras do Sul","0.504","0.629","0.699","",""
"1","IDH","Liberato Salzano","0.363","0.521","0.685","",""
"1","IDH","Lindolfo Collor","0.427","0.540","0.712","",""
"1","IDH","Linha Nova","0.475","0.611","0.749","",""
"1","IDH","Machadinho","0.454","0.571","0.692","",""
"1","IDH","Maçambará","0.403","0.562","0.684","",""
"1","IDH","Mampituba","0.372","0.518","0.649","",""
"1","IDH","Manoel Viana","0.410","0.543","0.655","",""
"1","IDH","Maquiné","0.460","0.579","0.682","",""
"1","IDH","Maratá","0.474","0.591","0.697","",""
"1","IDH","Marau","0.542","0.678","0.774","",""
"1","IDH","Marcelino Ramos","0.478","0.631","0.724","",""
"1","IDH","Mariana Pimentel","0.449","0.604","0.701","",""
"1","IDH","Mariano Moro","0.483","0.656","0.730","",""
"1","IDH","Marques de Souza","0.482","0.627","0.687","",""
"1","IDH","Mata","0.431","0.551","0.656","",""
"1","IDH","Mato Castelhano","0.434","0.665","0.727","",""
"1","IDH","Mato Leitão","0.472","0.623","0.746","",""
"1","IDH","Mato Queimado","0.461","0.617","0.717","",""
"1","IDH","Maximiliano de Almeida","0.445","0.562","0.699","",""
"1","IDH","Minas do Leão","0.417","0.547","0.681","",""
"1","IDH","Miraguaí","0.412","0.584","0.725","",""
"1","IDH","Montauri","0.484","0.608","0.764","",""
"1","IDH","Monte Alegre dos Campos","0.305","0.462","0.650","",""
"1","IDH","Monte Belo do Sul","0.498","0.629","0.752","",""
"1","IDH","Montenegro","0.543","0.668","0.755","",""
"1","IDH","Mormaço","0.408","0.584","0.714","",""
"1","IDH","Morrinhos do Sul","0.397","0.593","0.711","",""
"1","IDH","Morro Redondo","0.437","0.572","0.702","",""
"1","IDH","Morro Reuter","0.428","0.656","0.743","",""
"1","IDH","Mostardas","0.439","0.571","0.664","",""
"1","IDH","Muçum","0.549","0.641","0.746","",""
"1","IDH","Muitos Capões","0.397","0.534","0.702","",""
"1","IDH","Muliterno","0.404","0.598","0.689","",""
"1","IDH","Não-Me-Toque","0.572","0.692","0.765","",""
"1","IDH","Nicolau Vergueiro","0.410","0.676","0.753","",""
"1","IDH","Nonoai","0.442","0.584","0.702","",""
"1","IDH","Nova Alvorada","0.455","0.566","0.740","",""
"1","IDH","Nova Araçá","0.580","0.732","0.785","",""
"1","IDH","Nova Bassano","0.525","0.674","0.747","",""
"1","IDH","Nova Boa Vista","0.509","0.640","0.768","",""
"1","IDH","Nova Bréscia","0.553","0.695","0.778","",""
"1","IDH","Nova Candelária","0.385","0.603","0.759","",""
"1","IDH","Nova Esperança do Sul","0.526","0.593","0.735","",""
"1","IDH","Nova Hartz","0.436","0.578","0.689","",""
"1","IDH","Nova Pádua","0.525","0.688","0.761","",""
"1","IDH","Nova Palma","0.510","0.659","0.744","",""
"1","IDH","Nova Petrópolis","0.589","0.697","0.780","",""
"1","IDH","Nova Prata","0.586","0.689","0.766","",""
"1","IDH","Nova Ramada","0.416","0.576","0.742","",""
"1","IDH","Nova Roma do Sul","0.533","0.677","0.741","",""
"1","IDH","Nova Santa Rita","0.455","0.609","0.718","",""
"1","IDH","Novo Cabrais","0.415","0.538","0.688","",""
"1","IDH","Novo Hamburgo","0.544","0.671","0.747","",""
"1","IDH","Novo Machado","0.447","0.560","0.663","",""
