"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Aceguá",,,,,,,,,,,,"104476","115959","107458","181677","211646.19","240529.25","256120.74","265549.70","246898.56","252048.48","R$",1000
"1.1","Série revisada","Capão da Canoa",,,,,,,,,,,,"653655","761460","867172","953133","1068041.01","1199499.02","1363923.77","1373551.84","1435685.37","1609057.68","R$",1000
"1.1","Série revisada","Capela de Santana",,,,,,,,,,,,"102902","99496","117221","152442","165557.50","179858.93","197305.26","195153.16","203166.94","227408.94","R$",1000
"1.1","Série revisada","Carlos Barbosa",,,,,,,,,,,,"1010717","1155783","1330059","1462810","1743656.48","1842227.30","2028627.72","2181700.71","2534373.98","2773584.94","R$",1000
"1.1","Série revisada","Catuípe",,,,,,,,,,,,"151586","194443","138758","267028","259372.83","302139.43","350768.44","330437.24","389421.39","382494.50","R$",1000
"1.1","Série revisada","Centenário",,,,,,,,,,,,"31709","38899","41850","50107","55109.08","62154.02","73359.16","68802.43","74004.76","83040.44","R$",1000
"1.1","Série revisada","Cerro Grande do Sul",,,,,,,,,,,,"88898","94435","108586","133276","142350.57","151709.76","169883.63","168379.87","160234.98","183456.63","R$",1000
"1.1","Série revisada","Cerro Grande",,,,,,,,,,,,"28000","32716","24660","42993","40891.57","46605.69","51558.35","50990.76","56203.17","55883.62","R$",1000
"1.1","Série revisada","Charqueadas",,,,,,,,,,,,"885720","880592","1000726","1011898","1069469.40","1101314.56","1035380.99","1115155.72","1304461.77","1376933.22","R$",1000
"1.1","Série revisada","Cerro Branco",,,,,,,,,,,,"44613","49121","51603","62393","66429.40","67587.50","66325.27","77508.84","71997.73","75643.97","R$",1000
"1.1","Série revisada","Chapada",,,,,,,,,,,,"223013","257117","202058","347238","359497.30","394317.65","435319.38","433600.67","464290.57","462559.29","R$",1000
"1.1","Série revisada","Boa Vista do Incra",,,,,,,,,,,,"72654","92599","75440","141669","122675.47","141976.70","181165.67","157092.83","202595.47","171969.34","R$",1000
"1.1","Série revisada","Bento Gonçalves",,,,,,,,,,,,"3508007","3927845","4317555","4752627","5337670.76","5254620.73","5151925.39","5548630.49","5976970.71","6349889.81","R$",1000
"1.1","Série revisada","Chuvisca",,,,,,,,,,,,"56075","58919","66759","97093","102043.49","95608.82","117451.71","103453.71","102138.24","114679.83","R$",1000
"1.1","Série revisada","Colorado",,,,,,,,,,,,"86792","108092","80724","150893","131150.57","155612.75","182364.70","175343.18","209796.33","194488.44","R$",1000
"1.1","Série revisada","Chuí",,,,,,,,,,,,"77517","83918","101773","131998","152912.32","196370.27","217506.96","230138.48","379220.24","381741.17","R$",1000
"1.1","Série revisada","Colinas",,,,,,,,,,,,"34201","35713","38962","59772","64936.27","65983.05","66668.13","61159.42","58911.24","65607.68","R$",1000
"1.1","Série revisada","Barão do Triunfo",,,,,,,,,,,,"58348","72770","71389","92530","97094.77","97182.95","113323.73","114495.00","111096.77","143306.47","R$",1000
"1.1","Série revisada","Charrua",,,,,,,,,,,,"47096","54940","53627","71448","68065.89","70924.67","80133.52","74292.74","91754.87","92132.37","R$",1000
"1.1","Série revisada","Cidreira",,,,,,,,,,,,"134801","153240","176683","198968","219505.94","241318.01","266589.64","260812.89","279898.93","308044.56","R$",1000
"1.1","Série revisada","Coqueiros do Sul",,,,,,,,,,,,"54683","60013","51592","79429","86316.70","92273.53","107594.75","102518.27","119701.82","108687.99","R$",1000
"1.1","Série revisada","Cotiporã",,,,,,,,,,,,"59293","66691","67279","74604","88840.59","131137.51","125029.45","146541.86","158359.96","157403.00","R$",1000
"1.1","Série revisada","André da Rocha",,,,,,,,,,,,"35657","42837","39263","100511","107458.60","106130.95","123769.65","102114.50","110217.71","106411.87","R$",1000
"1.1","Série revisada","Condor",,,,,,,,,,,,"167682","206714","165631","253672","261732.17","304988.16","327581.39","318295.26","386469.35","372473.89","R$",1000
"1.1","Série revisada","Coronel Barros",,,,,,,,,,,,"46138","59773","57967","85468","77498.33","94425.78","109070.97","104719.36","120659.03","125302.34","R$",1000
"1.1","Série revisada","Coqueiro Baixo",,,,,,,,,,,,"21570","24408","24244","28845","28389.95","32840.83","33028.09","32979.43","33892.28","39763.61","R$",1000
"1.1","Série revisada","Coronel Pilar",,,,,,,,,,,,"24512","25772","25208","32713","34647.30","35419.00","34851.84","38696.65","39588.34","42369.88","R$",1000
"1.1","Série revisada","Alto Feliz",,,,,,,,,,,,"36097","40839","44719","58404","64983.68","76817.98","81091.97","86839.44","94220.47","119778.97","R$",1000
